player,position,dob,caps,club,flag,year,start_date,country,dob_dt,days_old
Brett Papworth,Centre,3 November 1963,8.0,Eastwood / New South Wales,Australia,1987,1987-05-22,Australia,1963-11-03,8601.0
Andrew Slack (c),Centre,24 September 1955,33.0,Souths / Queensland,Australia,1987,1987-05-22,Australia,1955-09-24,11563.0
Michael Cook,Centre,23 April 1962,2.0,Terrace / Queensland,Australia,1987,1987-05-22,Australia,1962-04-23,9160.0
David Campese,Wing,21 October 1962,27.0,Randwick / New South Wales,Australia,1987,1987-05-22,Australia,1962-10-21,8979.0
Matthew Burke,Wing,15 September 1964,15.0,Randwick / New South Wales,Australia,1987,1987-05-22,Australia,1964-09-15,8284.0
Peter Grigg,Wing,20 July 1958,20.0,Brothers / Queensland,Australia,1987,1987-05-22,Australia,1958-07-20,10533.0
Anthony Herbert,Fullback,13 August 1966,1.0,GPS Rugby / Queensland,Australia,1987,1987-05-22,Australia,1966-08-13,7587.0
Andrew Leeds,Fullback,19 September 1964,1.0,Parramatta / New South Wales,Australia,1987,1987-05-22,Australia,1964-09-19,8280.0
Roger Gould,Fullback,4 April 1957,24.0,Wests / Queensland,Australia,1987,1987-05-22,Australia,1957-04-04,11005.0
Pat Johnson,Hooker,17 March 1960,1.0,Chicago Lions,United States,1987,1987-05-22,United States,1960-03-17,9927.0
John Everett,Hooker,22 March 1957,5.0,Old Blue R.F.C.,United States,1987,1987-05-22,United States,1957-03-22,11018.0
Fred Paoli,Prop,18 February 1954,6.0,Denver Barbarians,United States,1987,1987-05-22,United States,1954-02-18,12146.0
Rick Bailey,Prop,25 June 1954,9.0,Old Blue R.F.C.,United States,1987,1987-05-22,United States,1954-06-25,12019.0
Neal Brendel,Prop,12 September 1954,5.0,Pittsburgh Rugby Club,United States,1987,1987-05-22,United States,1954-09-12,11940.0
Butch Horwath,Prop,22 September 1960,4.0,Philadelphia Whitemarsh RFC,United States,1987,1987-05-22,United States,1960-09-22,9738.0
Kevin Swords,Lock,1 July 1960,5.0,Boston RFC,United States,1987,1987-05-22,United States,1960-07-01,9821.0
Ed Burlingham (c),Lock,14 October 1951,12.0,Back Bay Rugby Club,United States,1987,1987-05-22,United States,1951-10-14,13004.0
Bob Causey,Lock,4 May 1953,7.0,Louisiana State University RFC,United States,1987,1987-05-22,United States,1953-05-04,12436.0
Bill Shiflet,Lock,22 July 1954,3.0,Lancer Rugby Club,United States,1987,1987-05-22,United States,1954-07-22,11992.0
Blane Warhurst,Back row,28 September 1961,8.0,Old Blue R.F.C.,United States,1987,1987-05-22,United States,1961-09-28,9367.0
Gary Lambert,Back row,21 January 1959,8.0,White Plains R.F.C.,United States,1987,1987-05-22,United States,1959-01-21,10348.0
Steve Finkel,Back row,23 January 1953,4.0,Scioto Valley R.F.C.,United States,1987,1987-05-22,United States,1953-01-23,12537.0
Tony Ridnell,Back row,1 January 1961,0.0,Old Puget Sound Beach,United States,1987,1987-05-22,United States,1961-01-01,9637.0
Brian Vizard,Back row,4 June 1959,4.0,OMBAC,United States,1987,1987-05-22,United States,1959-06-04,10214.0
Mike Saunders,Scrum-half,18 May 1959,2.0,OMBAC,United States,1987,1987-05-22,United States,1959-05-18,10231.0
Dave Dickson,Scrum-half,29 November 1959,1.0,Charlotte Rugby Club,United States,1987,1987-05-22,United States,1959-11-29,10036.0
John Mickel,Scrum-half,unknown,1.0,Los Angeles Rugby Club,United States,1987,1987-05-22,United States,,
Joe Clarkson,Fly-half,21 February 1957,3.0,Los Angeles Rugby Club,United States,1987,1987-05-22,United States,1957-02-21,11047.0
Mike Caulder,Fly-half,15 August 1959,2.0,Life Chiropractic College,United States,1987,1987-05-22,United States,1959-08-15,10142.0
Dave Horton,Fly-half,circa 1955,1.0,Boston RFC,United States,1987,1987-05-22,United States,,
Roy Helu,Centre,4 June 1953,10.0,Old Blue R.F.C.,United States,1987,1987-05-22,United States,1953-06-04,12405.0
Tommy Vinick,Centre,8 November 1956,1.0,Hartford Wanderers RFC,United States,1987,1987-05-22,United States,1956-11-08,11152.0
Kevin Higgins,Centre,8 November 1962,6.0,OMBAC,United States,1987,1987-05-22,United States,1962-11-08,8961.0
Denis Shanagher,Centre,17 October 1956,8.0,Bay Area Touring Side R.F.C.,United States,1987,1987-05-22,United States,1956-10-17,11174.0
Gary Hein,Wing,26 March 1953,2.0,University of California,United States,1987,1987-05-22,United States,1953-03-26,12475.0
Mike Purcell,Wing,6 December 1951,12.0,Bay Area Touring Side R.F.C.,United States,1987,1987-05-22,United States,1951-12-06,12951.0
Ray Nelson,Fullback,11 June 1961,6.0,Hutchesons' GSFP,Scotland,1987,1987-05-22,United States,1961-06-11,9476.0
Brian Moore,Hooker,11 January 1962,1.0,Nottingham R.F.C.,England,1987,1987-05-22,England,1962-01-11,9262.0
Graham Dawe,Hooker,4 September 1959,3.0,Bath Rugby,England,1987,1987-05-22,England,1959-09-04,10122.0
Gary Pearce,Prop,2 March 1956,31.0,Northampton Saints,England,1987,1987-05-22,England,1956-03-02,11403.0
Jeff Probyn,Prop,27 April 1956,0.0,Wasps FC,England,1987,1987-05-22,England,1956-04-27,11347.0
Paul Rendall,Prop,18 February 1954,7.0,Wasps FC,England,1987,1987-05-22,England,1954-02-18,12146.0
Gareth Chilcott,Prop,20 November 1960,5.0,Bath Rugby,England,1987,1987-05-22,England,1960-11-20,9679.0
Nigel Redman,Lock,16 August 1964,4.0,Bath Rugby,England,1987,1987-05-22,England,1964-08-16,8314.0
Steve Bainbridge,Lock,7 October 1956,18.0,Fylde Rugby Club,England,1987,1987-05-22,England,1956-10-07,11184.0
Wade Dooley,Lock,2 October 1957,12.0,Fylde Rugby Club,England,1987,1987-05-22,England,1957-10-02,10824.0
Jon Hall,Back row,15 March 1962,19.0,Bath Rugby,England,1987,1987-05-22,England,1962-03-15,9199.0
Peter Winterbottom,Back row,31 May 1960,26.0,Headingley,England,1987,1987-05-22,England,1960-05-31,9852.0
Gary Rees,Back row,2 May 1960,7.0,Nottingham R.F.C.,England,1987,1987-05-22,England,1960-05-02,9881.0
David Egerton,Back row,19 October 1961,0.0,Bath Rugby,England,1987,1987-05-22,England,1961-10-19,9346.0
Dean Richards,Back row,11 July 1963,3.0,Leicester Football Club,England,1987,1987-05-22,England,1963-07-11,8716.0
Richard Hill,Scrum-half,4 May 1961,8.0,Bath Rugby,England,1987,1987-05-22,England,1961-05-04,9514.0
Richard Harding,Scrum-half,29 August 1953,4.0,Bristol Rugby Club,England,1987,1987-05-22,England,1953-08-29,12319.0
Peter Williams,Fly-half,14 December 1958,1.0,Orrell R.U.F.C.,England,1987,1987-05-22,England,1958-12-14,10386.0
Huw Davies,Fly-half,18 February 1959,1.0,Wasps FC,England,1987,1987-05-22,England,1959-02-18,10320.0
Rob Andrew,Fly-half,18 February 1963,12.0,Wasps FC,England,1987,1987-05-22,England,1963-02-18,8859.0
Kevin Simms,Centre,25 December 1964,10.0,Wasps FC,England,1987,1987-05-22,England,1964-12-25,8183.0
Jamie Salmon,Centre,16 October 1959,11.0,Harlequin F.C.,England,1987,1987-05-22,England,1959-10-16,10080.0
Fran Clough,Centre,1 November 1962,2.0,Orrell R.U.F.C.,England,1987,1987-05-22,England,1962-11-01,8968.0
Mark Bailey,Wing,21 November 1960,2.0,Wasps FC,England,1987,1987-05-22,England,1960-11-21,9678.0
Rory Underwood,Wing,19 June 1963,16.0,R.A.F. / Leicester Football Club,England,1987,1987-05-22,England,1963-06-19,8738.0
Mike Harrison (c),Wing,9 April 1956,9.0,Wakefield RFC,England,1987,1987-05-22,England,1956-04-09,11365.0
Jonathan Webb,Fullback,24 August 1963,0.0,Bristol Rugby Club,England,1987,1987-05-22,England,1963-08-24,8672.0
Marcus Rose,Fullback,12 January 1957,9.0,Harlequin F.C.,England,1987,1987-05-22,England,1957-01-12,11087.0
Tsutomu Hirose,Hooker,24 July 1963,0.0,Doshisha University,Japan,1987,1987-05-22,Japan,1963-07-24,8703.0
Tsuyoshi Fujita,Hooker,27 January 1961,19.0,Nisshin Steel,Japan,1987,1987-05-22,Japan,1961-01-27,9611.0
Koji Yasumi,Prop,13 July 1957,1.0,Toyota Motors,Japan,1987,1987-05-22,Japan,1957-07-13,10905.0
Koji Horaguchi,Prop,3 November 1953,22.0,Nippon Steel Kamaishi,Japan,1987,1987-05-22,Japan,1953-11-03,12253.0
Toshitaka Kimura,Prop,25 June 1963,6.0,World Fighting Bull,Japan,1987,1987-05-22,Japan,1963-06-25,8732.0
Masaharu Aizawa,Prop,12 May 1958,6.0,Ricoh,Japan,1987,1987-05-22,Japan,1958-05-12,10602.0
Atsushi Oyagi,Lock,15 August 1961,12.0,Kobe Steel Rugby Club,Japan,1987,1987-05-22,Japan,1961-08-15,9411.0
Seiji Kurihara,Lock,16 November 1964,2.0,Suntory Rugby Football Club,Japan,1987,1987-05-22,Japan,1964-11-16,8222.0
Yoshihiko Sakuraba,Lock,22 September 1966,2.0,Nippon Steel Kamaishi,Japan,1987,1987-05-22,Japan,1966-09-22,7547.0
Toshiyuki Hayashi (c),Lock,8 February 1960,22.0,Kobe Steel Rugby Club,Japan,1987,1987-05-22,Japan,1960-02-08,9965.0
Katsufumi Miyamoto,Back row,19 March 1966,2.0,Doshisha University,Japan,1987,1987-05-22,Japan,1966-03-19,7734.0
Yasuharu Kawase,Back row,15 June 1959,9.0,Toshiba Fuchu Rugby Football Club,Japan,1987,1987-05-22,Japan,1959-06-15,10203.0
Sinali Latu,Back row,22 August 1965,0.0,Sanyo,Japan,1987,1987-05-22,Japan,1965-08-22,7943.0
Michihito Chida,Back row,22 December 1958,24.0,Nippon Steel Kamaishi,Japan,1987,1987-05-22,Japan,1958-12-22,10378.0
Hisataka Ikuta,Scrum-half,20 November 1962,0.0,Mitsubishi Heavy Industries Sagamigahara,Japan,1987,1987-05-22,Japan,1962-11-20,8949.0
Mitsutake Hagimoto,Scrum-half,10 February 1959,0.0,Kobe Steel Rugby Club,Japan,1987,1987-05-22,Japan,1959-02-10,10328.0
Seiji Hirao,Fly-half,21 January 1963,12.0,Kobe Steel Rugby Club,Japan,1987,1987-05-22,Japan,1963-01-21,8887.0
Katsuhiro Matsuo,Fly-half,6 January 1964,5.0,World Fighting Bull,Japan,1987,1987-05-22,Japan,1964-01-06,8537.0
Kojiro Yoshinaga,Centre,8 June 1961,1.0,Mazda Motor Corporation,Japan,1987,1987-05-22,Japan,1961-06-08,9479.0
Eiji Kutsuki,Centre,25 December 1962,5.0,Toyota Motors,Japan,1987,1987-05-22,Japan,1962-12-25,8914.0
Toshiro Yoshino,Wing,5 September 1960,6.0,Suntory Rugby Football Club,Japan,1987,1987-05-22,Japan,1960-09-05,9755.0
Nofomuli Taumoefolau,Wing,21 June 1956,7.0,Sanyo,Japan,1987,1987-05-22,Japan,1956-06-21,11292.0
Shinji Onuki,Wing,16 March 1962,13.0,Suntory Rugby Football Club,Japan,1987,1987-05-22,Japan,1962-03-16,9198.0
Minoru Okidoi,Wing,7 February 1965,0.0,Suntory Rugby Football Club,Japan,1987,1987-05-22,Japan,1965-02-07,8139.0
Shogo Mukai,Fullback,2 October 1961,7.0,Toshiba Fuchu Rugby Football Club,Japan,1987,1987-05-22,Japan,1961-10-02,9363.0
Daijiro Murai,Fullback,24 August 1962,5.0,Marubeni,Japan,1987,1987-05-22,Japan,1962-08-24,9037.0
Billy James,Hooker,18 July 1956,21.0,Aberavon RFC,Wales,1987,1987-05-22,Wales,1956-07-18,11265.0
Alan Phillips,Hooker,21 August 1954,15.0,Cardiff RFC,Wales,1987,1987-05-22,Wales,1954-08-21,11962.0
Kevin Phillips,Hooker,15 June 1961,1.0,Neath RFC,Wales,1987,1987-05-22,Wales,1961-06-15,9472.0
Steve Blackmore,Prop,3 March 1962,1.0,Cardiff RFC,Wales,1987,1987-05-22,Wales,1962-03-03,9211.0
Stuart Evans,Prop,14 June 1963,7.0,Neath RFC,Wales,1987,1987-05-22,Wales,1963-06-14,8743.0
Anthony Buchanan,Prop,30 June 1955,0.0,Llanelli RFC,Wales,1987,1987-05-22,Wales,1955-06-30,11649.0
John Rawlins,Prop,7 June 1957,0.0,Newport RFC,Wales,1987,1987-05-22,Wales,1957-06-07,10941.0
Jeff Whitefoot,Prop,18 April 1956,17.0,Aberavon RFC,Wales,1987,1987-05-22,Wales,1956-04-18,11356.0
Dai Young,Prop,26 July 1967,0.0,Swansea RFC,Wales,1987,1987-05-22,Wales,1967-07-26,7240.0
Steve Sutton,Lock,17 February 1958,6.0,South Wales Police RFC,Wales,1987,1987-05-22,Wales,1958-02-17,10686.0
Huw Richards,Lock,9 October 1960,1.0,Neath RFC,Wales,1987,1987-05-22,Wales,1960-10-09,9721.0
Bob Norster,Lock,23 June 1957,24.0,Cardiff RFC,Wales,1987,1987-05-22,Wales,1957-06-23,10925.0
Phil Davies,Lock,19 October 1963,12.0,Llanelli RFC,Wales,1987,1987-05-22,Wales,1963-10-19,8616.0
Paul Moriarty,Lock,16 July 1964,9.0,Swansea RFC,Wales,1987,1987-05-22,Wales,1964-07-16,8345.0
Richard Moriarty (c),Lock,1 May 1957,16.0,Swansea RFC,Wales,1987,1987-05-22,Wales,1957-05-01,10978.0
Richard Webster,Back row,9 July 1967,0.0,Swansea RFC,Wales,1987,1987-05-22,Wales,1967-07-09,7257.0
Richie Collins,Back row,2 March 1962,2.0,South Wales Police RFC,Wales,1987,1987-05-22,Wales,1962-03-02,9212.0
Gareth Roberts,Back row,15 January 1959,2.0,Cardiff RFC,Wales,1987,1987-05-22,Wales,1959-01-15,10354.0
Ray Giles,Scrum-half,15 January 1961,2.0,Aberavon RFC,Wales,1987,1987-05-22,Wales,1961-01-15,9623.0
Robert Jones,Scrum-half,10 November 1965,11.0,Swansea RFC,Wales,1987,1987-05-22,Wales,1965-11-10,7863.0
Malcolm Dacey,Fly-half,12 July 1960,14.0,Swansea RFC,Wales,1987,1987-05-22,Wales,1960-07-12,9810.0
Jonathan Davies,Fly-half,24 October 1962,13.0,Neath RFC,Wales,1987,1987-05-22,Wales,1962-10-24,8976.0
Mark Ring,Centre,15 October 1962,6.0,Cardiff RFC,Wales,1987,1987-05-22,Wales,1962-10-15,8985.0
Bleddyn Bowen,Centre,16 July 1961,13.0,South Wales Police RFC,Wales,1987,1987-05-22,Wales,1961-07-16,9441.0
Kevin Hopkins,Centre,29 September 1961,4.0,Swansea RFC,Wales,1987,1987-05-22,Wales,1961-09-29,9366.0
Mark Titley,Wing,3 May 1959,13.0,Bridgend RFC,Wales,1987,1987-05-22,Wales,1959-05-03,10246.0
Glen Webbe,Wing,21 January 1962,5.0,Bridgend RFC,Wales,1987,1987-05-22,Wales,1962-01-21,9252.0
John Devereux,Wing,30 March 1966,11.0,Bridgend RFC,Wales,1987,1987-05-22,Wales,1966-03-30,7723.0
Ieuan Evans,Wing,21 March 1964,4.0,Llanelli RFC,Wales,1987,1987-05-22,Wales,1964-03-21,8462.0
Adrian Hadley,Wing,1 March 1963,16.0,Cardiff RFC,Wales,1987,1987-05-22,Wales,1963-03-01,8848.0
Paul Thorburn,Fullback,24 November 1962,8.0,Neath RFC,Wales,1987,1987-05-22,Wales,1962-11-24,8945.0
Mark Cardinal,Hooker,5 May 1961,2.0,James Bay Athletic Association,Canada,1987,1987-05-22,Canada,1961-05-05,9513.0
Karl Svoboda,Hooker,23 March 1962,5.0,Ajax Wanderers R.U.F.C.,Canada,1987,1987-05-22,Canada,1962-03-23,9191.0
Eddie Evans,Prop,15 September 1964,2.0,James Bay Athletic Association,Canada,1987,1987-05-22,Canada,1964-09-15,8284.0
Ross Breen,Prop,11 June 1956,1.0,Meraloma Rugby,Canada,1987,1987-05-22,Canada,1956-06-11,11302.0
Bill Handson,Prop,3 December 1954,6.0,Vaughan Yeomen R.F.C.,Canada,1987,1987-05-22,Canada,1954-12-03,11858.0
Randy McKellar,Prop,6 January 1962,3.0,Crusaders Rugby Club,Canada,1987,1987-05-22,Canada,1962-01-06,9267.0
Ro Hindson,Lock,23 May 1951,28.0,UBC Old Boys Ravens,Canada,1987,1987-05-22,Canada,1951-05-23,13148.0
Hans de Goede (c),Lock,13 February 1953,21.0,James Bay Athletic Association,Canada,1987,1987-05-22,Canada,1953-02-13,12516.0
Ron van den Brink,Lock,30 September 1962,1.0,James Bay Athletic Association,Canada,1987,1987-05-22,Canada,1962-09-30,9000.0
Bruce Breen,Back row,13 October 1961,1.0,Meraloma Rugby,Canada,1987,1987-05-22,Canada,1961-10-13,9352.0
Roy Radu,Back row,11 September 1963,3.0,UBC Old Boys Ravens,Canada,1987,1987-05-22,Canada,1963-09-11,8654.0
Rob Frame,Back row,30 September 1961,2.0,Castaway Wanderers RFC,Canada,1987,1987-05-22,Canada,1961-09-30,9365.0
Glen Ennis,Back row,19 May 1964,3.0,James Bay Athletic Association,Canada,1987,1987-05-22,Canada,1964-05-19,8403.0
Dave Tucker,Scrum-half,30 March 1962,5.0,Meraloma Rugby,Canada,1987,1987-05-22,Canada,1962-03-30,9184.0
Ian Hyde-Lay,Fly-half,31 January 1958,2.0,University of Victoria,Canada,1987,1987-05-22,Canada,1958-01-31,10703.0
Gareth Rees,Fly-half,30 June 1967,2.0,Castaway Wanderers RFC,Canada,1987,1987-05-22,Canada,1967-06-30,7266.0
Ian Stuart,Centre,8 October 1961,5.0,Vancouver Rowing Club,Canada,1987,1987-05-22,Canada,1961-10-08,9357.0
Paul Vaesen,Centre,9 January 1959,3.0,James Bay Athletic Association,Canada,1987,1987-05-22,Canada,1959-01-09,10360.0
Steve Gray,Centre,19 July 1963,2.0,Vancouver Kats,Canada,1987,1987-05-22,Canada,1963-07-19,8708.0
Tom Woods,Centre,29 October 1962,4.0,James Bay Athletic Association,Canada,1987,1987-05-22,Canada,1962-10-29,8971.0
Pat Palmer,Wing,6 November 1962,5.0,UBC Old Boys Ravens,Canada,1987,1987-05-22,Canada,1962-11-06,8963.0
John Lecky,Wing,15 February 1960,11.0,Meraloma Rugby,Canada,1987,1987-05-22,Canada,1960-02-15,9958.0
Spence McTavish,Wing,25 August 1948,20.0,UBC Old Boys Ravens,Canada,1987,1987-05-22,Canada,1948-08-25,14149.0
Mark Wyatt,Fullback,12 April 1961,10.0,James Bay Athletic Association,Canada,1987,1987-05-22,Canada,1961-04-12,9536.0
Steve Smith,Hooker,18 July 1959,0.0,Ballymena R.F.C. / Ulster Rugby,Ireland,1987,1987-05-22,Ireland,1959-07-18,10170.0
Terry Kingston,Hooker,19 September 1963,0.0,Munster Rugby,Ireland,1987,1987-05-22,Ireland,1963-09-19,8646.0
John MacDonald,Hooker,9 April 1960,0.0,Malone RFC / Ulster Rugby,Ireland,1987,1987-05-22,Ireland,1960-04-09,9904.0
Des Fitzgerald,Prop,20 December 1957,10.0,Lansdowne R.F.C. / Leinster Rugby,Ireland,1987,1987-05-22,Ireland,1957-12-20,10745.0
Job Langbroek,Prop,1 July 1957,0.0,Blackrock College RFC / Leinster Rugby,Ireland,1987,1987-05-22,Ireland,1957-07-01,10917.0
J. J. McCoy,Prop,28 June 1958,7.0,Dungannon RFC / Ulster Rugby,Ireland,1987,1987-05-22,Ireland,1958-06-28,10555.0
Philip Orr,Prop,14 December 1950,55.0,Old Wesley RFC / Leinster Rugby,Ireland,1987,1987-05-22,Ireland,1950-12-14,13308.0
Willie Anderson,Lock,3 April 1955,12.0,Dungannon RFC / Ulster Rugby,Ireland,1987,1987-05-22,Ireland,1955-04-03,11737.0
Neil Francis,Lock,17 March 1964,0.0,Blackrock College RFC / Leinster Rugby,Ireland,1987,1987-05-22,Ireland,1964-03-17,8466.0
Donal Lenihan (c),Lock,12 September 1959,27.0,Cork Constitution / Munster Rugby,Ireland,1987,1987-05-22,Ireland,1959-09-12,10114.0
Jim Glennon,Lock,7 July 1953,6.0,Leinster Rugby,Ireland,1987,1987-05-22,Ireland,1953-07-07,12372.0
Nigel Carr,Back row,27 July 1959,11.0,Ards RFC / Ulster Rugby,Ireland,1987,1987-05-22,Ireland,1959-07-27,10161.0
Paul Collins,Back row,7 December 1959,0.0,Lansdowne R.F.C. / Leinster Rugby,Ireland,1987,1987-05-22,Ireland,1959-12-07,10028.0
Derek McGrath,Back row,3 May 1960,1.0,Leinster Rugby,Ireland,1987,1987-05-22,Ireland,1960-05-03,9880.0
Phillip Matthews,Back row,21 January 1960,10.0,Ards RFC / Ulster Rugby,Ireland,1987,1987-05-22,Ireland,1960-01-21,9983.0
Brian Spillane,Back row,26 January 1960,9.0,Munster Rugby,Ireland,1987,1987-05-22,Ireland,1960-01-26,9978.0
Tony Doyle,Scrum-half,26 April 1958,2.0,Greystones / Leinster Rugby,Ireland,1987,1987-05-22,Ireland,1958-04-26,10618.0
Michael Bradley,Scrum-half,17 November 1962,14.0,Cork Constitution / Munster Rugby,Ireland,1987,1987-05-22,Ireland,1962-11-17,8952.0
Tony Ward,Fly-half,8 October 1954,18.0,Greystones / Leinster Rugby,Ireland,1987,1987-05-22,Ireland,1954-10-08,11914.0
Paul Dean,Fly-half,28 June 1960,19.0,St. Mary's College RFC / Leinster Rugby,Ireland,1987,1987-05-22,Ireland,1960-06-28,9824.0
Brendan Mullin,Centre,30 October 1963,13.0,Blackrock College RFC / Leinster Rugby,Ireland,1987,1987-05-22,Ireland,1963-10-30,8605.0
Mike Kiernan,Centre,17 January 1961,24.0,Dolphin RFC / Munster Rugby,Ireland,1987,1987-05-22,Ireland,1961-01-17,9621.0
David Irwin,Centre,1 February 1959,19.0,Ulster Rugby,Ireland,1987,1987-05-22,Ireland,1959-02-01,10337.0
Keith Crossan,Wing,29 December 1959,18.0,Ulster Rugby,Ireland,1987,1987-05-22,Ireland,1959-12-29,10006.0
Trevor Ringland,Wing,13 November 1959,27.0,Ballymena R.F.C. / Ulster Rugby,Ireland,1987,1987-05-22,Ireland,1959-11-13,10052.0
Hugo MacNeill,Fullback,16 September 1958,33.0,Leinster Rugby,Ireland,1987,1987-05-22,Ireland,1958-09-16,10475.0
Philip Rainey,Fullback,12 July 1959,0.0,Ballymena R.F.C. / Ulster Rugby,Ireland,1987,1987-05-22,Ireland,1959-07-12,10176.0
Amone Afu,Hooker,circa 1957,8.0,,,1987,1987-05-22,Tonga,,
Takai Makisi,Prop,circa 1962,2.0,,,1987,1987-05-22,Tonga,,
Latu Vaʻeno,Prop,circa 1959,3.0,Toloa Old Boys,Tonga,1987,1987-05-22,Tonga,,
Viliami Lutua,Prop,circa 1956,3.0,,,1987,1987-05-22,Tonga,,
Hakatoa Tupou,Prop,circa 1959,6.0,,,1987,1987-05-22,Tonga,,
Soakai Motuʻapuaka,Prop,circa 1953,2.0,Tonga Police Force,Tonga,1987,1987-05-22,Tonga,,
Kasi Fine,Lock,20 March 1964,0.0,,,1987,1987-05-22,Tonga,1964-03-20,8463.0
Polutele Tuʻihalamaka,Lock,7 September 1949,13.0,,,1987,1987-05-22,Tonga,1949-09-07,13771.0
Mofuike Tuʻungafasi,Lock,circa 1963,13.0,Tonga Defence Service,Tonga,1987,1987-05-22,Tonga,,
Fakahau Valu (c),Back row,1 July 1950,22.0,Toloa Old Boys,Tonga,1987,1987-05-22,Tonga,1950-07-01,13474.0
Taipaleti Tuʻuta,Back row,circa 1964,0.0,,,1987,1987-05-22,Tonga,,
Sione Tahaafe,Back row,8 July 1958,0.0,Eastwood Rugby Club,Australia,1987,1987-05-22,Tonga,1958-07-08,10545.0
Maliu Filise,Back row,circa 1958,2.0,,,1987,1987-05-22,Tonga,,
Kini Fotu,Back row,circa 1965,0.0,Tonga College,Tonga,1987,1987-05-22,Tonga,,
Manu Vunipola,Scrum-half,circa 1967,0.0,Toa-ko-Ma'afu R.F.C.,Tonga,1987,1987-05-22,Tonga,,
Talai Fifita,Scrum-half,24 July 1962,6.0,,,1987,1987-05-22,Tonga,1962-07-24,9068.0
Taliaʻuli Liavaʻa,Fly-half,circa 1970,0.0,Toloa Old Boys,Tonga,1987,1987-05-22,Tonga,,
Lemeki Vaipulu,Fly-half,circa 1961,0.0,,,1987,1987-05-22,Tonga,,
Asa Amone,Centre,8 January 1966,0.0,,,1987,1987-05-22,Tonga,1966-01-08,7804.0
Samiu Mohi,Centre,circa 1962,3.0,,,1987,1987-05-22,Tonga,,
Alamoni Liavaʻa,Centre,circa 1959,12.0,,,1987,1987-05-22,Tonga,,
Talanoa Kitekeiʻaho,Wing,circa 1958,1.0,Vaheloto,Tonga,1987,1987-05-22,Tonga,,
Quddus Fielea,Wing,1 July 1967,0.0,,,1987,1987-05-22,Tonga,1967-07-01,7265.0
Soane Asi,Wing,circa 1963,0.0,,,1987,1987-05-22,Tonga,,
Liueli Fusimalohi,Fullback,circa 1966,0.0,,,1987,1987-05-22,Tonga,,
Tali Ete'aki,Fullback,circa 1963,4.0,,,1987,1987-05-22,Tonga,,
Sean Fitzpatrick,Hooker,4 June 1963,4.0,Auckland,New Zealand,1987,1987-05-22,New Zealand,1963-06-04,8753.0
John Drake,Prop,22 January 1959,2.0,Auckland,New Zealand,1987,1987-05-22,New Zealand,1959-01-22,10347.0
Richard Loe,Prop,6 April 1960,0.0,Waikato,New Zealand,1987,1987-05-22,New Zealand,1960-04-06,9907.0
Steve McDowall,Prop,21 August 1961,6.0,Auckland,New Zealand,1987,1987-05-22,New Zealand,1961-08-21,9405.0
Murray Pierce,Lock,1 November 1957,8.0,Wellington,New Zealand,1987,1987-05-22,New Zealand,1957-11-01,10794.0
